@RELATION test
@ATTRIBUTE col0 NUMERIC
@ATTRIBUTE col1 NUMERIC
@ATTRIBUTE col2 NUMERIC
@ATTRIBUTE col3 NUMERIC
@ATTRIBUTE col4 NUMERIC
@ATTRIBUTE class {'g','b'}
@DATA
49.0,13.0,11789.0,107181.0,1.0,'g'
57.0,21.0,1438.0,143827.0,5.0,'g'
37.0,8.0,1586.0,158613.0,5.0,'b'
26.0,4.0,17867.0,162428.0,5.0,'g'
32.0,4.0,8604.0,122922.0,1.0,'g'
48.0,26.0,13747.0,85920.0,4.0,'g'
46.0,16.0,11872.0,131918.0,3.0,'g'
30.0,1.0,8724.0,145402.0,1.0,'g'
51.0,12.0,12624.0,90176.0,2.0,'g'
38.0,10.0,9742.0,88565.0,0.0,'g'
58.0,35.0,31185.0,194908.0,4.0,'g'
51.0,14.0,7055.0,88189.0,1.0,'g'
58.0,33.0,0.0,98035.0,2.0,'g'
55.0,16.0,21043.0,123784.0,2.0,'g'
32.0,1.0,3682.0,73653.0,2.0,'g'
33.0,2.0,3697.0,123247.0,2.0,'g'
37.0,13.0,31730.0,126921.0,2.0,'g'
43.0,5.0,13295.0,94968.0,2.0,'g'
52.0,19.0,10586.0,132331.0,2.0,'g'
49.0,11.0,4275.0,53439.0,1.0,'g'
35.0,15.0,11654.0,145685.0,3.0,'g'
33.0,2.0,31070.0,119501.0,2.0,'g'
34.0,9.0,14142.0,176778.0,2.0,'g'
35.0,1.0,31302.0,115937.0,1.0,'g'
56.0,28.0,15278.0,63659.0,1.0,'g'
58.0,33.0,14440.0,160453.0,5.0,'g'
32.0,10.0,11967.0,108792.0,4.0,'g'
50.0,18.0,33397.0,185541.0,4.0,'g'
55.0,24.0,7437.0,148758.0,3.0,'g'
55.0,27.0,5689.0,56894.0,4.0,'g'
37.0,13.0,11963.0,170914.0,2.0,'g'
57.0,20.0,13495.0,84346.0,2.0,'g'
33.0,7.0,0.0,160584.0,5.0,'b'
37.0,14.0,29194.0,162194.0,4.0,'g'
49.0,23.0,14334.0,95564.0,1.0,'g'
33.0,4.0,42824.0,186192.0,0.0,'g'
45.0,22.0,8193.0,51212.0,3.0,'g'
58.0,22.0,21528.0,86114.0,0.0,'g'
55.0,25.0,36939.0,136814.0,0.0,'g'
36.0,9.0,33833.0,169165.0,1.0,'g'
43.0,14.0,0.0,151090.0,3.0,'g'
31.0,2.0,2229.0,111494.0,5.0,'g'
45.0,13.0,15992.0,69531.0,3.0,'g'
46.0,22.0,585.0,58592.0,0.0,'g'
52.0,14.0,14151.0,157239.0,2.0,'g'
33.0,13.0,24363.0,116019.0,0.0,'g'
55.0,17.0,26995.0,192824.0,0.0,'g'
39.0,7.0,16169.0,161691.0,1.0,'g'
35.0,10.0,27365.0,144027.0,0.0,'g'
44.0,18.0,16389.0,71260.0,5.0,'g'
55.0,32.0,20833.0,189396.0,4.0,'g'
51.0,18.0,1025.0,51262.0,3.0,'g'
56.0,23.0,9150.0,183008.0,2.0,'g'
32.0,6.0,35965.0,156371.0,1.0,'g'
54.0,15.0,0.0,132245.0,3.0,'g'
59.0,35.0,6253.0,52111.0,4.0,'g'
49.0,24.0,20956.0,83827.0,3.0,'g'
45.0,7.0,19762.0,70582.0,2.0,'g'
34.0,5.0,20450.0,120295.0,5.0,'g'
56.0,30.0,29551.0,197012.0,0.0,'g'
27.0,6.0,29819.0,135542.0,0.0,'g'
28.0,3.0,15090.0,150902.0,1.0,'g'
39.0,7.0,29708.0,135039.0,1.0,'g'
43.0,11.0,38407.0,182894.0,3.0,'g'
34.0,4.0,18109.0,69653.0,4.0,'g'
45.0,6.0,7641.0,191033.0,5.0,'g'
28.0,5.0,25449.0,159060.0,3.0,'g'
53.0,24.0,33861.0,178219.0,1.0,'g'
32.0,9.0,15352.0,54831.0,0.0,'g'
38.0,6.0,6559.0,65596.0,0.0,'g'
54.0,16.0,8874.0,177484.0,2.0,'g'
54.0,32.0,5915.0,84510.0,0.0,'g'
46.0,13.0,6829.0,170734.0,5.0,'g'
44.0,24.0,3946.0,98674.0,4.0,'g'
41.0,7.0,5083.0,101662.0,0.0,'g'
41.0,4.0,31926.0,133025.0,2.0,'g'
55.0,23.0,10876.0,135959.0,3.0,'g'
43.0,9.0,4055.0,135196.0,2.0,'g'
49.0,10.0,6788.0,84853.0,1.0,'g'
56.0,34.0,23851.0,95405.0,1.0,'g'
54.0,17.0,8544.0,71200.0,0.0,'g'
57.0,25.0,12573.0,125737.0,4.0,'g'
56.0,25.0,16358.0,96226.0,5.0,'g'
48.0,26.0,9546.0,119333.0,0.0,'g'
29.0,8.0,24092.0,92662.0,3.0,'g'
43.0,5.0,7004.0,175122.0,4.0,'g'
44.0,11.0,17434.0,79249.0,2.0,'g'
54.0,15.0,38109.0,146575.0,2.0,'g'
52.0,19.0,16673.0,151577.0,1.0,'g'
35.0,4.0,12092.0,71133.0,2.0,'g'
38.0,17.0,19689.0,85605.0,5.0,'g'
26.0,4.0,16767.0,59885.0,2.0,'g'
42.0,3.0,2868.0,95603.0,1.0,'g'
58.0,29.0,14701.0,56546.0,3.0,'g'
31.0,1.0,23914.0,199288.0,5.0,'g'
32.0,5.0,8176.0,58402.0,0.0,'g'
37.0,5.0,17776.0,126977.0,2.0,'g'
52.0,28.0,34907.0,129288.0,1.0,'g'
58.0,21.0,34685.0,182555.0,3.0,'g'
48.0,17.0,5844.0,83498.0,4.0,'g'
59.0,38.0,18854.0,78559.0,1.0,'g'
35.0,0.0,22294.0,139343.0,0.0,'g'
34.0,11.0,6166.0,102776.0,5.0,'g'
49.0,21.0,31109.0,119652.0,3.0,'g'
35.0,11.0,13046.0,65234.0,2.0,'g'
59.0,26.0,20751.0,94327.0,5.0,'g'
22.0,0.0,3598.0,59969.0,4.0,'g'
30.0,3.0,36862.0,127111.0,2.0,'g'
50.0,18.0,53453.0,190905.0,2.0,'g'
48.0,18.0,0.0,67884.0,2.0,'g'
23.0,0.0,25627.0,91526.0,5.0,'g'
31.0,9.0,42806.0,186114.0,5.0,'g'
44.0,19.0,19748.0,179535.0,2.0,'g'
31.0,7.0,22750.0,98915.0,3.0,'g'
53.0,25.0,2100.0,52505.0,3.0,'g'
33.0,0.0,34222.0,180121.0,0.0,'g'
55.0,26.0,30402.0,178838.0,0.0,'g'
55.0,32.0,4536.0,151233.0,4.0,'g'
56.0,17.0,47864.0,199434.0,4.0,'g'
30.0,3.0,28140.0,165531.0,0.0,'g'
59.0,23.0,16594.0,118529.0,5.0,'g'
42.0,13.0,19729.0,109608.0,3.0,'g'
55.0,21.0,5691.0,113834.0,1.0,'g'
56.0,17.0,7473.0,93413.0,2.0,'g'
31.0,7.0,38556.0,148294.0,1.0,'g'
41.0,11.0,19303.0,101597.0,1.0,'g'
58.0,20.0,13593.0,169923.0,0.0,'g'
39.0,10.0,35632.0,178164.0,3.0,'g'
30.0,4.0,23217.0,96739.0,0.0,'g'
43.0,20.0,20173.0,74715.0,4.0,'g'
36.0,4.0,2699.0,89994.0,5.0,'g'
29.0,6.0,27887.0,174296.0,2.0,'g'
38.0,6.0,10170.0,113001.0,1.0,'g'
40.0,6.0,15142.0,100947.0,5.0,'g'
46.0,13.0,6706.0,51587.0,1.0,'g'
43.0,23.0,18025.0,180254.0,5.0,'g'
38.0,12.0,30175.0,125731.0,3.0,'g'
52.0,29.0,10097.0,84144.0,4.0,'g'
38.0,15.0,13865.0,106655.0,2.0,'g'
46.0,20.0,3017.0,150874.0,3.0,'g'
27.0,7.0,10325.0,172094.0,0.0,'g'
52.0,25.0,32605.0,112433.0,5.0,'g'
22.0,1.0,14498.0,96658.0,0.0,'g'
49.0,17.0,14958.0,186982.0,5.0,'g'
36.0,1.0,27826.0,99379.0,1.0,'g'
57.0,21.0,33371.0,196302.0,1.0,'g'
55.0,26.0,0.0,179569.0,1.0,'g'
31.0,7.0,12135.0,75846.0,0.0,'g'
55.0,23.0,10644.0,177413.0,1.0,'g'
36.0,12.0,8244.0,117780.0,1.0,'g'
35.0,4.0,11106.0,74045.0,1.0,'g'
59.0,31.0,29610.0,164501.0,3.0,'g'
46.0,23.0,10539.0,58550.0,4.0,'g'
39.0,16.0,9350.0,155839.0,1.0,'g'
42.0,13.0,0.0,98670.0,5.0,'b'
23.0,0.0,12568.0,83792.0,5.0,'g'
28.0,1.0,52216.0,186486.0,0.0,'g'
46.0,15.0,12501.0,113653.0,0.0,'g'
50.0,26.0,19782.0,141305.0,2.0,'g'
56.0,22.0,0.0,85887.0,1.0,'g'
57.0,23.0,12273.0,87671.0,5.0,'g'
36.0,5.0,31813.0,109702.0,1.0,'g'
45.0,7.0,19267.0,113337.0,0.0,'g'
54.0,20.0,15179.0,116762.0,3.0,'g'
55.0,17.0,8899.0,98887.0,3.0,'g'
21.0,0.0,5349.0,89158.0,4.0,'g'
43.0,9.0,15285.0,76426.0,1.0,'g'
40.0,14.0,7628.0,76282.0,3.0,'g'
43.0,18.0,13127.0,87519.0,3.0,'g'
48.0,19.0,13927.0,174091.0,1.0,'g'
43.0,23.0,4604.0,76740.0,4.0,'g'
39.0,0.0,34435.0,132445.0,3.0,'g'
45.0,10.0,14722.0,77486.0,2.0,'g'
43.0,5.0,1550.0,155080.0,1.0,'b'
58.0,19.0,45129.0,188041.0,2.0,'g'
42.0,18.0,0.0,179180.0,1.0,'g'
28.0,1.0,0.0,77675.0,1.0,'b'
44.0,13.0,17607.0,160066.0,2.0,'g'
40.0,5.0,48197.0,166198.0,2.0,'g'
50.0,16.0,13073.0,65365.0,3.0,'g'
28.0,2.0,0.0,125419.0,5.0,'b'
57.0,25.0,31814.0,187144.0,3.0,'g'
38.0,2.0,15783.0,78919.0,1.0,'g'
56.0,19.0,25002.0,166684.0,2.0,'g'
37.0,4.0,14290.0,71454.0,4.0,'g'
46.0,9.0,37975.0,140649.0,4.0,'g'
57.0,26.0,11042.0,100384.0,0.0,'g'
41.0,17.0,35301.0,196119.0,3.0,'g'
36.0,3.0,7780.0,194506.0,2.0,'g'
28.0,6.0,15816.0,58579.0,3.0,'g'
37.0,6.0,18519.0,108938.0,0.0,'g'
30.0,7.0,10153.0,50767.0,5.0,'g'
38.0,3.0,10254.0,146487.0,2.0,'g'
52.0,20.0,6079.0,101320.0,1.0,'g'
25.0,0.0,11025.0,183758.0,5.0,'g'
40.0,7.0,2958.0,147947.0,3.0,'g'
43.0,23.0,6505.0,130110.0,3.0,'g'
36.0,13.0,13039.0,93138.0,3.0,'g'
37.0,15.0,37198.0,169084.0,2.0,'g'
40.0,13.0,2629.0,131484.0,5.0,'g'
43.0,17.0,9652.0,193055.0,5.0,'g'
32.0,8.0,3087.0,154388.0,3.0,'g'
39.0,7.0,15131.0,189138.0,0.0,'g'
39.0,12.0,4071.0,135708.0,5.0,'g'
55.0,25.0,11821.0,69536.0,3.0,'g'
36.0,9.0,8117.0,54116.0,3.0,'g'
29.0,3.0,10092.0,168209.0,5.0,'g'
44.0,13.0,21047.0,72579.0,3.0,'g'
54.0,16.0,38024.0,165323.0,5.0,'g'
57.0,20.0,8828.0,63059.0,5.0,'g'
49.0,16.0,27081.0,193440.0,5.0,'g'
53.0,18.0,22908.0,95450.0,0.0,'g'
36.0,0.0,3384.0,56412.0,4.0,'g'
42.0,16.0,22903.0,120544.0,2.0,'g'
30.0,9.0,2736.0,136844.0,2.0,'g'
28.0,6.0,30633.0,127638.0,4.0,'g'
56.0,21.0,2933.0,97771.0,1.0,'g'
48.0,23.0,42282.0,162625.0,2.0,'g'
49.0,28.0,14642.0,112637.0,2.0,'g'
29.0,2.0,8883.0,111044.0,2.0,'g'
56.0,19.0,35383.0,153843.0,3.0,'g'
39.0,15.0,20808.0,90471.0,5.0,'g'
41.0,10.0,9659.0,193183.0,4.0,'g'
47.0,27.0,1401.0,140132.0,0.0,'g'
45.0,19.0,5762.0,192080.0,0.0,'g'
44.0,11.0,8408.0,120122.0,3.0,'g'
35.0,15.0,29814.0,129630.0,0.0,'g'
47.0,25.0,38976.0,149911.0,2.0,'g'
45.0,25.0,19654.0,72795.0,5.0,'g'
40.0,10.0,42141.0,145315.0,1.0,'g'
41.0,6.0,8183.0,116907.0,4.0,'g'
32.0,3.0,7370.0,184254.0,3.0,'g'
49.0,23.0,37714.0,163978.0,2.0,'g'
57.0,19.0,24921.0,166140.0,2.0,'g'
58.0,20.0,18622.0,124150.0,2.0,'g'
40.0,5.0,31471.0,165642.0,4.0,'g'
49.0,19.0,9584.0,159743.0,1.0,'g'
27.0,3.0,37753.0,145207.0,4.0,'g'
37.0,9.0,34746.0,157937.0,3.0,'g'
35.0,5.0,31828.0,187224.0,2.0,'g'
38.0,17.0,0.0,50817.0,4.0,'g'
35.0,3.0,29912.0,186955.0,5.0,'g'
55.0,21.0,4147.0,138248.0,2.0,'g'
50.0,16.0,0.0,187826.0,3.0,'g'
49.0,10.0,26862.0,92630.0,2.0,'g'
40.0,18.0,12674.0,115221.0,3.0,'g'
51.0,19.0,0.0,67596.0,0.0,'g'
42.0,6.0,20304.0,81217.0,2.0,'g'
46.0,19.0,37197.0,154990.0,4.0,'g'
38.0,1.0,7333.0,66666.0,0.0,'g'
40.0,13.0,46904.0,187619.0,4.0,'g'
44.0,8.0,28018.0,103771.0,2.0,'g'
42.0,11.0,25931.0,103724.0,5.0,'g'
39.0,17.0,0.0,145960.0,1.0,'g'
45.0,7.0,2358.0,78600.0,3.0,'g'
25.0,2.0,6721.0,168026.0,5.0,'g'
45.0,18.0,34674.0,165119.0,3.0,'g'
45.0,21.0,6895.0,62683.0,1.0,'g'
44.0,9.0,8090.0,50567.0,1.0,'g'
55.0,32.0,27007.0,180053.0,3.0,'g'
52.0,18.0,2486.0,124313.0,2.0,'g'
58.0,36.0,28104.0,122195.0,0.0,'g'
47.0,22.0,5440.0,77720.0,1.0,'g'
48.0,16.0,17914.0,179145.0,3.0,'g'
31.0,11.0,45664.0,169128.0,4.0,'g'
57.0,34.0,5878.0,73482.0,1.0,'g'
57.0,24.0,5526.0,184201.0,0.0,'g'
57.0,22.0,4488.0,149631.0,5.0,'g'
42.0,11.0,27659.0,197565.0,4.0,'g'
53.0,15.0,13707.0,65275.0,5.0,'g'
47.0,11.0,12279.0,72233.0,2.0,'g'
44.0,17.0,16329.0,96054.0,0.0,'g'
44.0,10.0,52181.0,186364.0,2.0,'g'
30.0,2.0,30051.0,176776.0,5.0,'g'
34.0,12.0,1382.0,138298.0,0.0,'b'
31.0,8.0,20964.0,190583.0,2.0,'g'
22.0,0.0,1867.0,186708.0,4.0,'b'
50.0,20.0,31918.0,118217.0,3.0,'g'
56.0,29.0,16092.0,100578.0,0.0,'g'
28.0,4.0,11066.0,58244.0,2.0,'g'
59.0,32.0,3079.0,153995.0,0.0,'g'
38.0,14.0,7530.0,50205.0,5.0,'g'
34.0,0.0,25265.0,180466.0,1.0,'g'
22.0,0.0,1460.0,73042.0,0.0,'b'
44.0,5.0,21257.0,92423.0,2.0,'g'
53.0,15.0,2735.0,136790.0,2.0,'g'
53.0,31.0,17885.0,105207.0,5.0,'g'
35.0,6.0,26175.0,100675.0,1.0,'g'
42.0,4.0,17576.0,195291.0,3.0,'g'
31.0,1.0,40507.0,168781.0,5.0,'g'
52.0,31.0,16414.0,136790.0,1.0,'g'
50.0,24.0,33679.0,160378.0,5.0,'g'
56.0,21.0,35355.0,135982.0,2.0,'g'
31.0,4.0,26856.0,179044.0,1.0,'g'
34.0,9.0,38745.0,193728.0,3.0,'g'
51.0,22.0,5151.0,128799.0,4.0,'g'
43.0,23.0,25824.0,161400.0,2.0,'g'
41.0,14.0,11990.0,85647.0,1.0,'g'
45.0,14.0,24037.0,92453.0,0.0,'g'
41.0,8.0,5771.0,115436.0,2.0,'g'
35.0,3.0,12470.0,124701.0,4.0,'g'
38.0,16.0,18431.0,73724.0,3.0,'g'
28.0,3.0,51837.0,185134.0,0.0,'g'
36.0,5.0,19661.0,103482.0,2.0,'g'
38.0,4.0,9215.0,131651.0,5.0,'g'
34.0,8.0,10986.0,57824.0,4.0,'g'
59.0,33.0,34535.0,172679.0,2.0,'g'
58.0,30.0,20256.0,112538.0,3.0,'g'
41.0,15.0,46309.0,171516.0,3.0,'g'
52.0,21.0,8009.0,80093.0,1.0,'g'
24.0,2.0,29589.0,109590.0,0.0,'g'
43.0,12.0,11137.0,50626.0,5.0,'g'
41.0,5.0,3351.0,167577.0,1.0,'g'
39.0,1.0,32957.0,183095.0,3.0,'g'
43.0,13.0,22753.0,126411.0,5.0,'g'
57.0,27.0,7468.0,82983.0,2.0,'g'
24.0,0.0,13701.0,195738.0,3.0,'g'
33.0,5.0,3522.0,176129.0,1.0,'g'
38.0,5.0,12072.0,109754.0,0.0,'g'
55.0,17.0,10739.0,134239.0,3.0,'g'
47.0,19.0,12130.0,71355.0,5.0,'g'
28.0,4.0,14085.0,54176.0,4.0,'g'
55.0,22.0,18171.0,69890.0,0.0,'g'
49.0,15.0,26943.0,158494.0,3.0,'g'
35.0,12.0,39040.0,156160.0,0.0,'g'
42.0,13.0,25146.0,93134.0,3.0,'g'
49.0,29.0,15764.0,58387.0,2.0,'g'
29.0,7.0,13394.0,167426.0,5.0,'g'
59.0,22.0,12283.0,55835.0,1.0,'g'
46.0,19.0,18814.0,117588.0,4.0,'g'
59.0,29.0,51378.0,183496.0,5.0,'g'
31.0,7.0,19591.0,69970.0,1.0,'g'
54.0,22.0,5837.0,116753.0,4.0,'g'
35.0,0.0,5689.0,189661.0,1.0,'g'
53.0,27.0,32378.0,134910.0,2.0,'g'
47.0,22.0,3169.0,79235.0,1.0,'g'
38.0,6.0,24624.0,153900.0,4.0,'g'
56.0,24.0,24403.0,84150.0,1.0,'g'
25.0,5.0,11427.0,142845.0,4.0,'g'
41.0,14.0,7365.0,147309.0,1.0,'g'
52.0,14.0,13327.0,66636.0,4.0,'g'
43.0,4.0,16801.0,168010.0,5.0,'g'
55.0,18.0,0.0,60147.0,3.0,'g'
45.0,13.0,19396.0,88166.0,4.0,'g'
29.0,0.0,32836.0,172823.0,2.0,'g'
40.0,7.0,28276.0,176727.0,1.0,'g'
37.0,4.0,10322.0,93838.0,0.0,'g'
41.0,12.0,1041.0,104116.0,2.0,'b'
33.0,4.0,17013.0,68054.0,4.0,'g'
44.0,23.0,41287.0,187669.0,5.0,'g'
29.0,7.0,1620.0,162040.0,2.0,'b'
53.0,20.0,16176.0,70332.0,0.0,'g'
57.0,21.0,5689.0,189657.0,2.0,'g'
37.0,11.0,9810.0,98104.0,0.0,'g'
50.0,11.0,21157.0,176314.0,0.0,'g'
38.0,7.0,17076.0,189740.0,0.0,'g'
41.0,16.0,22718.0,108181.0,3.0,'g'
45.0,12.0,22237.0,111185.0,2.0,'g'
34.0,4.0,17302.0,144185.0,0.0,'g'
38.0,3.0,57608.0,198650.0,0.0,'g'
50.0,22.0,53883.0,192440.0,5.0,'g'
48.0,13.0,2165.0,108258.0,0.0,'g'
51.0,14.0,5553.0,185100.0,5.0,'g'
53.0,24.0,23879.0,91846.0,0.0,'g'
50.0,16.0,7865.0,196642.0,5.0,'g'
52.0,31.0,4179.0,139314.0,3.0,'g'
52.0,30.0,8486.0,141448.0,5.0,'g'
37.0,4.0,25720.0,183721.0,5.0,'g'
28.0,3.0,22684.0,174496.0,0.0,'g'
56.0,28.0,27822.0,163661.0,5.0,'g'
32.0,7.0,20291.0,96624.0,3.0,'g'
32.0,5.0,10222.0,146037.0,5.0,'g'
31.0,10.0,41439.0,197333.0,1.0,'g'
48.0,26.0,16837.0,140315.0,2.0,'g'
59.0,23.0,25814.0,172098.0,3.0,'g'
49.0,16.0,26976.0,93023.0,2.0,'g'
42.0,22.0,12264.0,81761.0,1.0,'g'
54.0,27.0,12683.0,90599.0,3.0,'g'
28.0,4.0,25591.0,127956.0,2.0,'g'
55.0,20.0,42252.0,156491.0,4.0,'g'
57.0,26.0,21883.0,198940.0,1.0,'g'
51.0,12.0,11564.0,165203.0,3.0,'g'
54.0,34.0,14494.0,65885.0,0.0,'g'
49.0,23.0,13162.0,146245.0,2.0,'g'
54.0,15.0,20916.0,80449.0,0.0,'g'
39.0,0.0,25959.0,89514.0,1.0,'g'
37.0,0.0,6926.0,115434.0,5.0,'g'
40.0,19.0,29563.0,105585.0,5.0,'g'
50.0,22.0,16037.0,160372.0,2.0,'g'
56.0,24.0,7108.0,142175.0,1.0,'g'
58.0,26.0,25821.0,161386.0,4.0,'g'
45.0,14.0,42689.0,158111.0,2.0,'g'
36.0,9.0,24317.0,90063.0,5.0,'g'
42.0,13.0,35647.0,132026.0,4.0,'g'
52.0,32.0,30301.0,159482.0,5.0,'g'
37.0,15.0,0.0,108618.0,5.0,'g'
56.0,33.0,8498.0,106226.0,4.0,'g'
52.0,17.0,18684.0,143728.0,5.0,'g'
29.0,9.0,29570.0,140814.0,1.0,'g'
35.0,2.0,23674.0,98642.0,4.0,'g'
58.0,32.0,812.0,81208.0,3.0,'g'
58.0,24.0,28587.0,168164.0,2.0,'g'
38.0,17.0,46905.0,180406.0,4.0,'g'
57.0,28.0,12242.0,136033.0,0.0,'g'
59.0,25.0,20823.0,160183.0,5.0,'g'
54.0,27.0,12072.0,52490.0,4.0,'g'
35.0,1.0,30186.0,125779.0,2.0,'g'
39.0,2.0,21362.0,125664.0,4.0,'g'
37.0,5.0,39097.0,177715.0,0.0,'g'
36.0,15.0,19172.0,100906.0,3.0,'g'
52.0,14.0,9184.0,91846.0,3.0,'g'
54.0,20.0,3735.0,124506.0,3.0,'g'
51.0,20.0,14317.0,75356.0,5.0,'g'
45.0,16.0,24781.0,165207.0,3.0,'g'
33.0,1.0,31276.0,195481.0,1.0,'g'
46.0,17.0,16645.0,151326.0,5.0,'g'
25.0,0.0,5560.0,50547.0,0.0,'g'
58.0,21.0,45995.0,164270.0,2.0,'g'
47.0,11.0,7665.0,85172.0,5.0,'g'
40.0,8.0,18310.0,91554.0,3.0,'g'
40.0,6.0,13423.0,167794.0,0.0,'g'
39.0,8.0,10005.0,125074.0,1.0,'g'
37.0,1.0,10630.0,177179.0,4.0,'g'
37.0,5.0,3963.0,56628.0,2.0,'g'
29.0,3.0,18563.0,88396.0,3.0,'g'
52.0,31.0,39013.0,144496.0,3.0,'g'
55.0,35.0,9605.0,87319.0,1.0,'g'
56.0,33.0,6814.0,113569.0,5.0,'g'
35.0,10.0,845.0,84560.0,3.0,'b'
43.0,21.0,53935.0,185985.0,0.0,'g'
51.0,27.0,8598.0,95535.0,3.0,'g'
49.0,11.0,19334.0,77339.0,1.0,'g'
54.0,19.0,16884.0,140706.0,2.0,'g'
30.0,1.0,27813.0,185420.0,4.0,'g'
39.0,9.0,648.0,64811.0,3.0,'b'
43.0,14.0,3115.0,62306.0,3.0,'g'
21.0,1.0,14294.0,62152.0,2.0,'g'
53.0,27.0,10721.0,76582.0,0.0,'g'
22.0,2.0,15813.0,105422.0,2.0,'g'
32.0,0.0,13887.0,86797.0,0.0,'g'
41.0,21.0,2741.0,91380.0,2.0,'g'
53.0,21.0,33356.0,115022.0,4.0,'g'
50.0,16.0,6776.0,96811.0,2.0,'g'
42.0,11.0,26297.0,164358.0,5.0,'g'
28.0,1.0,1317.0,131797.0,4.0,'b'
45.0,24.0,17538.0,73075.0,0.0,'g'
42.0,9.0,925.0,92534.0,5.0,'b'
44.0,12.0,23970.0,92193.0,3.0,'g'
36.0,3.0,15136.0,63069.0,5.0,'g'
56.0,18.0,17785.0,80842.0,3.0,'g'
45.0,7.0,41768.0,198898.0,3.0,'g'
47.0,26.0,1520.0,76034.0,5.0,'g'
59.0,39.0,29910.0,166172.0,0.0,'g'
56.0,32.0,16884.0,153492.0,2.0,'g'
37.0,16.0,1744.0,58147.0,5.0,'g'
55.0,27.0,21057.0,75207.0,5.0,'g'
34.0,4.0,35109.0,159588.0,4.0,'g'
21.0,1.0,53705.0,191807.0,5.0,'g'
32.0,12.0,15253.0,72635.0,2.0,'g'
36.0,5.0,0.0,65751.0,0.0,'b'
39.0,0.0,25096.0,193053.0,4.0,'g'
39.0,11.0,28879.0,120330.0,2.0,'g'
34.0,5.0,12595.0,139954.0,1.0,'g'
55.0,26.0,20691.0,159167.0,4.0,'g'
47.0,8.0,37007.0,176225.0,5.0,'g'
53.0,29.0,3354.0,167745.0,5.0,'g'
55.0,28.0,9976.0,199537.0,5.0,'g'
44.0,15.0,20517.0,70749.0,1.0,'g'
53.0,29.0,6561.0,93737.0,2.0,'g'
53.0,16.0,31704.0,121939.0,5.0,'g'
42.0,15.0,52644.0,194981.0,2.0,'g'
40.0,3.0,0.0,129529.0,4.0,'b'
37.0,10.0,24460.0,174719.0,5.0,'g'
59.0,32.0,947.0,94724.0,2.0,'g'
32.0,2.0,0.0,57226.0,5.0,'b'
57.0,26.0,7169.0,143398.0,5.0,'g'
51.0,19.0,11326.0,125855.0,5.0,'g'
26.0,3.0,17598.0,83804.0,3.0,'g'
